title,points,vintage,type,variety,region_2,region_1,province,country,winery,price,abv,description,taste,acidity,sweetness,tannin,body,cost-effectiveness,image,vivino_url
Brennan Pinot Noir,4.2,2022,Red wine,Pinot Noir,Gibbston,Central Otago,South Island,New Zealand,Brennan,"₩30,887 ",14.00%,"Brennan Pinot Noir is a New Zealand wine from Central Otago, characterized by red and dark fruit notes like cherry and blackberry, often with herbal and spicy undertones of rosemary, clove, and tobacco. It is described as having a refined, fresh, and silky texture with a balance of acidity and fine, elegant tannins, making it a versatile food wine that pairs well with lamb, duck, or charcuterie.","oak, chocolate, tabacco, earthy, mushroom, smoke, plum, blackberry, cherry, pepper",4,1,2,3,3,https://images.vivino.com/thumbs/RvjRHde8RTiCIC50bSiIoA_pb_x960.png,https://www.vivino.com/brennan-pinot-noir/w/1789702?year=2022&price_id=39663843
"Long Barn
Cabernet Sauvignon",3.9,2021,Red wine,Cabernet Sauvignon,Napa Valley,Napa County,California,United States,Long Barn,"₩12,000 ",13.50%,"A fruit-forward and accessible Cabernet Sauvignon from California. It presents ripe aromas of blackberry, dark cherry, and plum with subtle hints of vanilla and spice from oak aging. The palate is medium-bodied with smooth tannins and a clean finish, making it an excellent everyday wine that offers great value.","oak,vanilla, cherry, chocolate, pepper, blackberry, strawberry, leather",3,1,4,5,5,https://images.vivino.com/thumbs/0EEWn_PpTNmJBg4ta4byWQ_pb_x960.png,https://www.vivino.com/long-barn-cabernet-sauvignon/w/7935257?year=2021
"Roche Mazet, Chardonnay",3.4,2024,White wine,Chardonnay,,Pays d'Oc,Vin de pays,France,Roche Mazet,"₩18,990 ",13.00%,"A popular Chardonnay from the Pays d'Oc region in the South of France, known for its consistent quality and value. This wine emphasizes fresh fruit flavors, displaying notes of green apple, pear, and citrus with hints of tropical fruit and white flowers. The palate is crisp and refreshing with a balanced finish.","oak, vanilla, butter, pear, green apple, apple, citrus, lime, lemon, honey, smoke, almond, cream, banana, pineapple, tropical",3,1,1,2,3,https://images.vivino.com/thumbs/oTyU5rIQSBGBqDzVVRJhCQ_pb_x960.png,https://www.vivino.com/fr-roche-mazet-cuvee-speciale-chardonnay/w/2332011?year=2024
Eight Years in the Desert,4.3,2020,Red wine,"Blend (Shiraz/Syrah, Zinfandel, Petite Sirah)",Napa Valley,Napa County,California,United States,Orin Swift,"₩82,442 ",15.70%,"A bold and complex Zinfandel-based blend from cult winemaker Dave Phinney. It unleashes a powerful bouquet of ripe blackberry, raspberry jam, and dark cherry, layered with notes of black pepper, licorice, and sweet oak. The palate is full-bodied, opulent, and velvety, with a long, lingering finish.","blackberry, oak, vanilla, blueberry, plum, chocolate, cherry, tobacco, dark fruit, black fruit, black cherry, jam, dark chocolate, red fruit, raspberry, leather, smoke, earthy, blackcurrant, cassis, fig, cream",2,1,4,5,2,https://images.vivino.com/thumbs/Idmjm47oRtWK85oWJpRjgA_pb_x960.png,https://www.vivino.com/en/orin-swift-eight-years-in-the-desert/w/6044826?year=2020
Toscana Torrione,3.7,2014,Red wine,Sangiovese,,Toscana,Central Italy,Italy,Petrolo,"₩144,274 ",14.00%,"Torrione is the flagship 'Super Tuscan' from Petrolo, made primarily from Sangiovese. The 2014 vintage offers a mature and elegant profile, with aromas of dried cherry, plum, leather, and tobacco, alongside earthy and balsamic notes. The palate is medium to full-bodied with well-integrated tannins and a long, savory finish.","oak, cherry, leather, tobacco, earthy, red fruit, plum, vanilla,",4,1,4,3,3,https://images.vivino.com/thumbs/APqmRLjlQ5mg8spj2LwguA_pb_x960.png,https://www.vivino.com/en/petrolo-toscana-torrione/w/16832?year=2014
Domaine Bernard Prudhon Saint-Aubin 1er Cru Les Castets,4,2018,White wine,Chardonnay,Saint-Aubin,Côte de Beaune,Bourgogne,France,Bernard Prudhon,"₩237,481 ",13.50%,"A Premier Cru white Burgundy from the respected Saint-Aubin appellation. This Chardonnay is elegant and complex, offering aromas of ripe pear, green apple, and citrus, with notes of toasted almond, vanilla, and a distinct flinty minerality. The palate is well-structured with a creamy texture balanced by vibrant acidity.","oak, honey, minerals, butter, pineapple, tropical, lemon, saline, lemon peel, citrus, apple, peach, acacia, orange blossom, prune, raspberry, toast",5,1,1,4,3,https://images.vivino.com/thumbs/GFKUTWaETZy0RjKpOkYEiw_pb_x960.png,https://www.vivino.com/en/bernard-prudhon-saint-aubin-1er-cru-les-murgers-des-dents-de-chien/w/1852780?year=2018
Le C De Calon Ségur,3.9,2019,Red wine,"Blend (Cabernet Sauvignon, Cabernet Franc, Merlot, Petit Verdot)",Saint-Estèphe,Médoc,Bordeaux,France,Château Calon-Ségur,"₩105,851 ",14.50%,"The third wine of the famed Saint-Estèphe estate, Château Calon-Ségur. Crafted to be enjoyed earlier, it offers a glimpse into the estate's terroir. It's a classic Bordeaux blend with notes of blackcurrant, cherry, and cedar, with hints of earth and spice. The palate is medium-bodied with smooth tannins and a fresh, balanced finish.","cedar, vanilla, oak, pepper",4,1,4,4,4,https://images.vivino.com/thumbs/itnqleKxQGqvX8evEnOHSg_pb_x960.png,https://www.vivino.com/en/chateau-calon-segur-le-c-de-calon-segur-saint-estephe-saint-estephe-red-wine/w/11283752?year=2019
Château Le Reysse,4.1,2010,Red wine,"Blend (Malbec, Merlot, Cabernet Sauvignon)",,Médoc,Bordeaux,France,Château le Reysse,"₩105,851 ",13.50%,"A Cru Bourgeois from the Médoc, this wine from the 2010 vintage is now fully mature. A blend of Merlot and Cabernet Sauvignon, it displays complex, developed aromas of dried black fruits, cassis, tobacco leaf, and forest floor. The palate is medium-bodied with resolved, supple tannins and a savory, lingering finish.","leather, oak, cassis, tobacco, plum, stone, graphite, cherry,",3,1,3,4,4,https://images.vivino.com/thumbs/j4s6ImUnQwOJgFUaV2EPqg_pb_x960.png,https://www.vivino.com/en/le-reysse-medoc/w/2131903?year=2010
Brunel de La Gardine,4,2021,Red wine,"Blend (Mourvedre, Shiraz/Syrah, Grenache)",Côtes-du-Rhône,Southern Rhône,Rhone Valley,France,Brunel de la Gardine,"₩17,000 ",14.00%,"From a well-known Châteauneuf-du-Pape producer, this is their accessible Côtes-du-Rhône. A classic Southern Rhône blend of Grenache, Syrah, and Mourvèdre, it features aromas of ripe raspberry, black cherry, and licorice, with a touch of pepper. The palate is medium to full-bodied with smooth tannins and a generous, warming finish.","plum, cherry, eathy, blackberry, leather, pepper, balck fruit, strawberry, raspberry, vanilla, oak, cheese",3,1,4,4,4,https://images.vivino.com/thumbs/J8yEo-JCQ3ieemdR7psjyA_pb_x960.png,https://www.vivino.com/en/brunel-de-la-gardine-cotes-du-rhone/w/1171835?year=2021
Innisfree Cabernet Sauvignon,4.1,2019,Red wine,Cabernet Sauvignon,Napa Valley,Napa County,California,United States,Joseph Phelps Vineyards,"₩39,000 ",14.50%,"Crafted by the team behind the iconic Joseph Phelps Insignia, this wine is made with the same meticulous care. It offers inviting aromas of black cherry, blackberry, and cassis, complemented by notes of vanilla, spice, and a hint of mocha. The palate is full-bodied and well-structured with velvety tannins and a long, satisfying finish.","oak, vanilla, blackberry, plum, cherry, chocolate, leather, pepper, cheese, violet",3,1,4,5,5,https://images.vivino.com/thumbs/SKnVSg1hR3GD2RXpODBuPw_pb_x960.png,https://www.vivino.com/en/joseph-phelps-vineyards-innisfree-cabernet-sauvignon/w/1666548?year=2019
